Date,Close,High,Low,Open,Volume,SMA,MACD,MACD_Signal,%K,%D,RSI,Williams %R,Direction
2020-03-17,30579.08984375,32047.98046875,30394.939453125,31611.5703125,21500,0.1386718136369942,0.23670415297393405,-1451.9598845879602,0.10333695232156437,0.20988914892282168,0.08608888414340643,0.10333695232156437,0
2020-03-18,28869.509765625,31101.76953125,28613.05078125,30968.83984375,31300,0.1244684264413668,0.168193771425718,-1680.6238628619928,0.015130800814679756,0.07683546039984954,0.07259774378458339,0.015130800814679879,0
2020-03-19,28288.23046875,29370.529296875,26714.4609375,27773.359375,33200,0.10970051217957622,0.11106005010216558,-1919.057915799546,0.12127434816609581,0.058616059550147495,0.06862643140718858,0.12127434816609584,0
2020-03-20,29915.9609375,30418.19921875,27932.669921875,28460.8203125,32100,0.09889750151087673,0.09976978880881604,-2120.77314507409,0.25490288159501445,0.1106075334380199,0.17959545081435183,0.2549028815950145,1
2020-03-23,25981.240234375,27900.830078125,25880.830078125,27608.80078125,21800,0.08322043547247071,0.03317214252852896,-2346.841981177484,0.0,0.10541723348584703,0.1313624786125194,0.0,0
2020-03-24,26674.029296875,27462.869140625,25638.900390625,27056.23046875,24700,0.06781805416390552,0.0,-2559.9223118196333,0.0714706702999797,0.08833313925894108,0.14091455616676637,0.07147067029997978,1
2020-03-25,28535.779296875,28790.189453125,26359.91015625,26499.810546875,141500,0.0550914674573012,0.012592048339289064,-2718.153961166212,0.21410920870970684,0.07433973593423754,0.21911644435811028,0.21410920870970684,1
2020-03-26,29946.76953125,30099.91015625,28566.33984375,29073.7109375,35000,0.04410476804678076,0.05349281169263187,-2805.0060073377617,0.35330707830346975,0.1955342274935819,0.26628726810311487,0.35330707830346986,1
2020-03-27,29815.58984375,31126.029296875,29346.990234375,30747.810546875,116900,0.03410128147002078,0.09077928555787118,-2838.2654925294446,0.3669773161435391,0.29690150795507186,0.27796487607468007,0.3669773161435391,0
2020-03-30,28440.3203125,29497.5703125,28290.990234375,29226.55078125,23200,0.02482785228643869,0.10437718842492216,-2851.6633225583887,0.26604814999607107,0.31471805896095006,0.28718052416154205,0.26604814999607107,0
2020-03-31,29468.490234375,29770.880859375,28667.359375,29294.939453125,26400,0.016799177025295875,0.1387328925200012,-2829.0065473768436,0.4179086519118438,0.3368782571233981,0.31851083827332904,0.4179086519118438,1
2020-04-01,28265.310546875,29505.98046875,28073.4296875,29505.330078125,18000,0.010982419734217763,0.15231439560301896,-2797.6873007683216,0.2841482779881322,0.3084655142658331,0.3508686976664687,0.28414827798813214,0
2020-04-03,27590.94921875,28639.119140625,27500.7890625,28623.529296875,18900,0.0025881720058498203,0.15814993394380705,-2766.962937409223,0.25762129689925384,0.30557486123556227,0.29275318368701403,0.2576212968992537,0
2020-04-07,30067.2109375,30157.650390625,28602.310546875,28898.359375,21900,0.00088308854793262,0.20959353062069042,-2692.4082795366,0.6935186763154945,0.400117028170492,0.4330113526970019,0.6935186763154944,1
2020-04-08,29893.9609375,31227.970703125,29602.939453125,29701.919921875,24700,0.0,0.2526702040413445,-2590.9174800350643,0.764954009690884,0.5650472256416058,0.44987552077840276,0.7649540096908839,0
2020-04-09,31159.619140625,31225.19921875,30420.220703125,30571.189453125,18800,0.0029518085489121937,0.31233218141313257,-2451.765881761276,0.994818675358524,0.8179271336532744,0.5358371001143029,0.9948186753585243,1
2020-04-13,30690.01953125,31195.720703125,30474.150390625,31195.720703125,16100,0.006047565268990862,0.35580993513075787,-2298.207898260802,0.9095315441724613,0.8920257614416319,0.5395065664565405,0.9095315441724611,0
2020-04-15,30379.810546875,31568.359375,30222.0703125,31277.109375,23600,0.006645438565921369,0.38872997386902697,-2143.381157325653,0.8037639005986812,0.905338670479939,0.48391728222830066,0.8037639005986813,0
2020-04-16,30602.609375,30800.19921875,30016.169921875,30095.509765625,16900,0.012602095957874981,0.42175683934910463,-1987.4356330122068,0.8419049980825684,0.8528848802560959,0.6554710352672147,0.8419049980825682,1
2020-04-17,31588.720703125,31718.73046875,30960.939453125,31656.6796875,22200,0.018936827506770615,0.4670270660192447,-1818.7012008931545,0.982605992300029,0.8779515181206035,0.6630133736474115,0.982605992300029,1
2020-04-20,31648.0,32056.470703125,31490.259765625,32056.189453125,17200,0.022948286425664377,0.5061522149220115,-1645.7053123938822,0.9162195719785549,0.9165270484532901,0.6107310816129525,0.9162195719785551,1
2020-04-21,30636.7109375,30900.119140625,30378.259765625,30836.189453125,19700,0.0238375779867791,0.5224348072752706,-1491.490786985274,0.6908904650030044,0.864724719322117,0.5017620764349144,0.6908904650030046,0
2020-04-22,31379.55078125,31471.140625,30578.55078125,30856.140625,21000,0.025853426363224852,0.5494436761067683,-1341.8812512999602,0.8564053952290445,0.821434284072568,0.5391219672673836,0.8564053952290446,1
2020-04-23,31863.080078125,31959.01953125,31292.919921875,31646.44921875,24400,0.030265150819418052,0.5802898185155397,-1192.2279667035198,0.9641423704436454,0.8378731825570443,0.6343615283500652,0.9641423704436456,1
2020-04-24,31327.220703125,31842.240234375,31278.26953125,31426.619140625,17600,0.03266093878818255,0.5970492171944497,-1056.224328268799,0.8447455343553223,0.8906498973444159,0.5630986885190142,0.8447455343553223,0
2020-04-27,31743.080078125,32103.69921875,31651.580078125,31659.0390625,12900,0.037143567410883205,0.6182112774892965,-926.8634167291268,0.9277060046471324,0.9151080575029686,0.6588521001405351,0.9277060046471324,1
2020-04-28,32114.51953125,32199.91015625,31661.33984375,32101.91015625,15600,0.042974168196071916,0.6418520358695498,-800.4087417089921,0.9831393586555276,0.9216245709522699,0.7236907246669221,0.9831393586555276,1
2020-04-29,32720.16015625,32897.58984375,32171.650390625,32311.0390625,16000,0.04639365473641954,0.6710117182603128,-670.9176665786049,0.9525670890874046,0.9586104659636022,0.6549614415399562,0.9525670890874046,1
2020-04-30,33717.62109375,33887.25,33354.9296875,33381.19140625,21100,0.05132211486175908,0.7105979861787158,-528.8685070461685,0.9627526366730487,0.9706324689465148,0.7108723473464036,0.9627526366730488,1
2020-05-04,31715.349609375,32748.140625,31632.01953125,32748.140625,18300,0.05203841687180921,0.7086368778506065,-417.1343089775755,0.43772017049927536,0.7835379971552366,0.5016122059719149,0.43772017049927536,0
2020-05-05,31453.509765625,32264.0,31403.5703125,32182.900390625,19200,0.053022508297939974,0.7027302251194437,-333.4850010637565,0.3690609402303441,0.5833786021834205,0.5147119790121417,0.3690609402303441,0
2020-05-06,31685.75,31970.83984375,31158.75,31577.630859375,19200,0.05470578302891038,0.7019140258128896,-267.35845607390803,0.4299586076796423,0.40061492317711656,0.5476474092226297,0.4299586076796422,1
2020-05-07,31443.380859375,31705.25,31362.869140625,31677.689453125,19900,0.055789485179712495,0.6973007666700537,-218.93879625137475,0.30027848611333313,0.35346847160247075,0.5196338853205905,0.3002784861133332,0
2020-05-08,31642.69921875,32088.509765625,31598.0,32083.3203125,15900,0.05585906012910968,0.6970191013050377,-180.47669377369243,0.357936608635683,0.3496525058481859,0.4728526027714718,0.3579366086356829,1
2020-05-11,31561.220703125,32301.580078125,31500.869140625,32030.33984375,18100,0.05574720701275615,0.6955227592924131,-151.16064153514836,0.3343667867107154,0.3168617613344007,0.46363091008768786,0.3343667867107154,0
2020-05-12,31371.119140625,31536.890625,30844.66015625,31342.9296875,23100,0.0566938135093894,0.6913078610362323,-131.80238602187995,0.23531424788104238,0.29457715877305635,0.5227357358205988,0.23531424788104238,0
2020-05-13,32008.609375,32845.48046875,31901.919921875,32841.87109375,18400,0.057504630911854204,0.6986027846152831,-109.22908765871756,0.38048057264247714,0.3023103869570351,0.5157362769458161,0.38048057264247714,1
2020-05-14,31122.890625,31630.939453125,31052.650390625,31466.330078125,15200,0.05655057274354125,0.6898162646550599,-99.70616249435405,0.08498717633665574,0.21676600661322712,0.4175511800782622,0.08498717633665576,0
2020-05-15,31097.73046875,31296.279296875,30770.48046875,31296.279296875,13000,0.05625477410478841,0.6826635867346496,-99.03633098174146,0.09874263190929192,0.1699180135341941,0.45211629137128784,0.09874263190929178,0
2020-05-18,30028.98046875,31248.259765625,29968.44921875,31248.259765625,19500,0.054045406318308675,0.6597334039567542,-120.7761189518411,0.007843081098436728,0.0420926341489605,0.35163338870311384,0.007843081098436677,0
2020-05-19,30196.169921875,30739.9609375,30116.8203125,30450.740234375,18700,0.051572772985345905,0.6450013308960165,-152.47950337460543,0.05114937747209557,0.03048529571529556,0.3340703545526873,0.05114937747209547,1
2020-05-20,30818.609375,30878.310546875,30157.75,30159.58984375,16100,0.04912179229701774,0.6443368303470849,-178.4877436549421,0.2123769365546409,0.06946513116417245,0.3355504142236371,0.21237693655464085,1
2020-05-21,30932.900390625,31188.7890625,30765.3203125,30904.2890625,15500,0.04553246050895965,0.6463560776291487,-197.33272691272492,0.3324397211218685,0.1808111164708161,0.24772286328652948,0.3324397211218685,1
2020-05-22,30672.58984375,31107.91015625,30474.880859375,30822.779296875,20600,0.0441884080264735,0.6443028057971338,-214.40337582311335,0.24059746623414907,0.24579726083185632,0.3573618338048189,0.24059746623414913,0
2020-05-26,30609.30078125,31086.69921875,30512.140625,30864.26953125,188300,0.04310027515196979,0.6423179376867639,-229.98810608097693,0.21826794374837366,0.24781804576785366,0.3749211208945053,0.21826794374837366,0
