Date,Close,High,Low,Open,Volume,SMA,MACD,MACD_Signal,%K,%D,RSI,Williams %R,Direction
2020-02-24,40363.23046875,41037.01171875,40306.359375,41037.01171875,8100,41118.966517857145,-103.02590779445018,-76.51786716142631,15.439337833825345,57.439377167895394,55.57065578740765,-84.56066216617467,0
2020-02-25,40281.19921875,40536.0,40220.58984375,40497.71875,7300,41082.66796875,-156.18690492152382,-92.4516747134458,4.071265513893627,31.46281079676029,42.885190889124175,-95.92873448610636,0
2020-02-26,39888.9609375,40255.390625,39760.390625,40194.890625,9000,40993.11802455357,-227.34701450916327,-119.43074267258932,6.597036404561043,8.702546584093339,32.63689096006259,-93.40296359543896,0
2020-02-27,39745.66015625,39947.80078125,39423.26953125,39947.80078125,9600,40881.66294642857,-291.9397893056448,-153.93255199920043,14.10263420502235,8.256978707825672,28.268828821771265,-85.89736579497766,0
2020-02-28,38297.2890625,39087.46875,38219.96875,39087.46875,12700,40678.47991071428,-454.759289410511,-214.09789948146255,2.2159058469509185,7.638525485511437,20.82116560189,-97.78409415304908,0
2020-03-02,38144.01953125,39083.171875,37785.98828125,38910.94921875,13400,40475.93694196428,-589.3686120492494,-289.15204199501994,9.125738773039364,8.48142627500421,20.859513368477337,-90.87426122696064,0
2020-03-03,38623.69921875,38754.23828125,38142.30078125,38480.890625,10600,40290.76255580357,-649.8502588511183,-361.2916853662396,21.352133879215582,10.897926166401955,24.62648848325152,-78.64786612078441,1
2020-03-04,38409.48046875,38791.69921875,37846.1015625,38715.71875,15300,40065.30412946428,-706.9191387232277,-430.41717603763726,15.891983814697404,15.456618822317452,18.264572973066393,-84.1080161853026,0
2020-03-05,38470.609375,38887.80078125,38386.6796875,38604.25,13500,39851.791294642855,-738.6987855464031,-492.0734979393905,17.481006711610217,18.2417081351744,19.671712728027913,-82.51899328838978,1
2020-03-06,37576.62109375,37747.0703125,37011.08984375,37613.9609375,19000,39588.85435267857,-826.4944539486532,-558.957689141243,12.82601916425696,15.39966989685486,17.249710505354088,-87.17398083574304,0
2020-03-09,35634.94921875,36950.19921875,35109.1796875,36950.19921875,18800,39201.658482142855,-1040.752697523647,-655.3166908177238,8.357819516750785,12.88828179753932,13.172312105041344,-91.64218048324922,0
2020-03-11,35697.3984375,36021.51171875,35261.921875,35468.8984375,27900,38830.445591517855,-1191.7767091134738,-762.6086944768739,9.350534514962446,10.17812439865673,14.211762857706988,-90.64946548503757,1
2020-03-12,32778.140625,34472.5,32493.099609375,34472.5,25200,38220.09849330357,-1529.3941310529262,-915.9657817920844,3.200252088844213,6.969535373519148,6.186387176167457,-96.7997479111558,0
2020-03-13,34103.48046875,34769.48046875,29388.970703125,31214.130859375,32600,37715.33844866072,-1670.7550965347982,-1066.9236447406272,40.47470093297944,17.675162512262034,17.65494893263083,-59.525299067020555,1
2020-03-16,31390.0703125,33103.23828125,31276.30078125,33103.23828125,18100,37074.3984375,-1978.9224170372909,-1249.32339919996,17.95186462760976,20.542272549811138,15.031521620327284,-82.04813537239023,0
2020-03-17,30579.08984375,32047.98046875,30394.939453125,31611.5703125,21500,36381.390625,-2262.505826139961,-1451.9598845879602,10.952265319962391,23.126276960183866,14.22342591082807,-89.0477346800376,0
2020-03-18,28869.509765625,31101.76953125,28613.05078125,30968.83984375,31300,35594.28696986607,-2595.2797759581226,-1680.6238628619928,2.2625905677231524,10.388906838431769,12.963927443430308,-97.73740943227683,0
2020-03-19,28288.23046875,29370.529296875,26714.4609375,27773.359375,33200,34775.899135044645,-2872.794127549758,-1919.057915799546,12.719377172461478,8.644744353382341,12.593175844984785,-87.28062282753852,0
2020-03-20,29915.9609375,30418.19921875,27932.669921875,28460.8203125,32100,34177.23284040178,-2927.634062172263,-2120.77314507409,25.883861432104062,13.621943057429569,22.95296057441648,-74.11613856789593,1
2020-03-23,25981.240234375,27900.830078125,25880.830078125,27608.80078125,21800,33308.462890625,-3251.1173255910617,-2346.841981177484,0.771971879861895,13.125070161475811,18.450053262617782,-99.2280281201381,0
2020-03-24,26674.029296875,27462.869140625,25638.900390625,27056.23046875,24700,32454.9150390625,-3412.243634388229,-2559.9223118196333,7.812942023343034,11.489591778436331,19.341810869466087,-92.18705797665696,1
2020-03-25,28535.779296875,28790.189453125,26359.91015625,26499.810546875,141500,31749.65066964286,-3351.080558552527,-2718.153961166212,21.865051595525987,10.149988499576972,26.642539770429167,-78.13494840447402,1
2020-03-26,29946.76953125,30099.91015625,28566.33984375,29073.7109375,35000,31140.80496651786,-3152.41419202396,-2805.0060073377617,35.57820189525312,21.75206517137405,31.046287610312007,-64.42179810474687,1
2020-03-27,29815.58984375,31126.029296875,29346.990234375,30747.810546875,116900,30586.44559151786,-2971.303433296176,-2838.2654925294446,36.92493246434143,31.45606198504018,32.136479317749064,-63.07506753565857,0
2020-03-30,28440.3203125,29497.5703125,28290.990234375,29226.55078125,23200,30072.543526785714,-2905.2546426741646,-2851.6633225583887,26.981843327664173,33.16165922908625,32.99682872727017,-73.01815667233582,0
2020-03-31,29468.490234375,29770.880859375,28667.359375,29294.939453125,26400,29627.621512276783,-2738.3794466506624,-2829.0065473768436,41.94245941640568,35.28307840280376,35.92174697416095,-58.05754058359432,1
2020-04-01,28265.310546875,29505.98046875,28073.4296875,29505.330078125,18000,29305.276506696428,-2672.4103143342327,-2797.6873007683216,28.764986822056805,32.56309652204222,38.942594228728176,-71.2350131779432,0
2020-04-03,27590.94921875,28639.119140625,27500.7890625,28623.529296875,18900,28840.095703125,-2644.0654839728268,-2766.962937409223,26.15166752535036,32.28637125460428,33.51707801272596,-73.84833247464965,0
2020-04-07,30067.2109375,30157.650390625,28602.310546875,28898.359375,21900,28745.60574776786,-2394.1896480461073,-2692.4082795366,69.0943238794813,41.336992742296154,46.61122307456766,-30.90567612051871,1
2020-04-08,29893.9609375,31227.970703125,29602.939453125,29701.919921875,24700,28696.66796875,-2184.9542820289207,-2590.9174800350643,76.13181278751358,57.125934730781744,48.18561881040119,-23.868187212486426,0
